"ID","Sentence","Emotion"
"7567","cũng do tụi online nổ nổ khoe khoe nữa i t ủng hộ 1 like tẩy chai hàng giả thu thuế","other"
"3994","con bé đáng thương","sadness"
"2265","kiểu này là làm mẹ ở tuổi 18 roi","other"
"4810","yên nghỉ nhé em lý ơi","sadness"
"2443","lần sau mua quả to hơn","other"
"4103","hình bóng tui trong đó","other"
"5589","vậy nên phật giáo mới nói tập nhìn bằng bất nhị tập hiểu & thương","other"
"4967","thế nên là đừng nghĩ chúng tôi bị lừa thật khi chúng tôi vừa là con gái vừa có thẻ ngành :)) lê mai dung dung phạm","enjoyment"
"2371","mé muốn chửi thề những thằng đàn ông như thếvk ck tao đi làm công nhân thôi lương hai vk ck cũng chẳng được mấy cũng ở trọchồng tao cũng không ăn được sầu riêng nhưng hễ lấy lương có tiền là mua cho vk ăn có con ra con nó nói muốn ăn sầu là ck tao cũng mua cái loại đàn ông tính toán với vk từng tí thị chỉ có vứt","anger"
"1545","không biết bây giờ trốn ở đâu r","disgust"
"5526","dễ thương giống mình hẹ","enjoyment"
"1325","thuu tran thư hả:))","enjoyment"
"5438","hôm trước có tin ít xà định chuyển patriot cho u cà giờ thì đến nhà mình còn ko giữ được thì u cà xác cmn định rồi","other"
"803","kính thưa hội đồng xét xử bị cáo đã nhận ra lỗi lầm của mình","other"
"5586","moi vấn đề (pháp) đều có 2 mặt ( pháp bất nhị) vì ta có cái bản ngã ( tư tưởng )xen vào nên tạo ra nhị nguyên diệt đc bản ngã sẽ có cái nhìn toàn diện mà nếu con người sống ko vì bản ngã vậy là sống vì cái gì hiiiii","other"
"1384","chuẩn hơn là đến để khắc phục gen nhà mình 😂","enjoyment"
"287","chỉ vô tù hả chị 😂😂","enjoyment"
"2677","khó lắm mới nghĩ ra đc đấy tưởng ah","enjoyment"
"5262","xem video thì thằng xe tải quay đầu ko nhìn phương tiện gây va chạm số chết lắp cái trụ cứu hỏa như bỏ bùa","other"
